prompt_id,prompt,N,K,max_new_tokens,batch_tokens_generated,batch_rounds,batch_time,batch_tokens_per_second,batch_target_calls,batch_target_sequences_evaluated,batch_draft_calls,batch_total_accepted,chosen_path_drafted_tokens,total_draft_compute_tokens,best_path_acceptance_rate,compute_adjusted_acceptance_rate,generated_tokens_per_target_call,ar_tokens_generated,ar_time,ar_target_calls,speedup_vs_ar,dataset
0,Which is a species of fish? Tope or Rope,1,2,50,52,21,1.2848405838012695,40.47194699139657,21,21,42,31,42,42,0.7380952380952381,0.7380952380952381,2.4761904761904763,50,1.880654573440552,50,1.4637260039502602,dolly_15k
0,Which is a species of fish? Tope or Rope,1,4,50,50,16,1.2416763305664062,40.26814296862039,16,16,64,34,64,64,0.53125,0.53125,3.125,50,1.880654573440552,50,1.5146093447578788,dolly_15k
0,Which is a species of fish? Tope or Rope,1,6,50,52,19,1.863588809967041,27.903151018018647,19,19,114,33,114,114,0.2894736842105263,0.2894736842105263,2.736842105263158,50,1.880654573440552,50,1.009157472604599,dolly_15k
0,Which is a species of fish? Tope or Rope,1,8,50,52,14,1.6257143020629885,31.98593992438486,14,14,112,38,112,112,0.3392857142857143,0.3392857142857143,3.7142857142857135,50,1.880654573440552,50,1.1568173885497908,dolly_15k
0,Which is a species of fish? Tope or Rope,1,10,50,53,18,2.4762213230133057,21.403579521520506,18,18,180,35,180,180,0.1944444444444444,0.1944444444444444,2.9444444444444446,50,1.880654573440552,50,0.7594856550027561,dolly_15k
0,Which is a species of fish? Tope or Rope,2,2,50,51,18,1.0507125854492188,48.53848779035573,18,36,36,33,36,72,0.9166666666666666,0.4583333333333333,2.833333333333333,50,1.880654573440552,50,1.789884883349429,dolly_15k
0,Which is a species of fish? Tope or Rope,2,4,50,50,14,1.1157419681549072,44.81322870975676,14,28,56,36,56,112,0.6428571428571429,0.3214285714285714,3.571428571428572,50,1.880654573440552,50,1.6855640704728296,dolly_15k
0,Which is a species of fish? Tope or Rope,2,6,50,52,14,1.3998067378997805,37.1479852126008,14,28,84,38,84,168,0.4523809523809524,0.2261904761904762,3.7142857142857135,50,1.880654573440552,50,1.3435101593111476,dolly_15k
0,Which is a species of fish? Tope or Rope,2,8,50,51,10,1.2168169021606443,41.9126327958148,10,20,80,41,80,160,0.5125,0.25625,5.1,50,1.880654573440552,50,1.5455526382820306,dolly_15k
0,Which is a species of fish? Tope or Rope,2,10,50,55,13,1.8297944068908687,30.058021706085725,13,26,130,42,130,260,0.3230769230769231,0.1615384615384615,4.230769230769231,50,1.880654573440552,50,1.0277955634568272,dolly_15k
0,Which is a species of fish? Tope or Rope,4,2,50,51,17,1.1660256385803225,43.73831784873471,17,68,34,34,34,136,1.0,0.25,3.0,50,1.880654573440552,50,1.6128758332709696,dolly_15k
0,Which is a species of fish? Tope or Rope,4,4,50,52,12,1.0879526138305664,47.79619933713242,12,48,48,40,48,192,0.8333333333333334,0.2083333333333333,4.333333333333333,50,1.880654573440552,50,1.7286180937779685,dolly_15k
0,Which is a species of fish? Tope or Rope,4,6,50,53,10,1.1044683456420898,47.98688908480044,10,40,60,43,60,240,0.7166666666666667,0.1791666666666666,5.3,50,1.880654573440552,50,1.7027691023115932,dolly_15k
0,Which is a species of fish? Tope or Rope,4,8,50,56,9,1.2531979084014893,44.68567943225387,9,36,72,47,72,288,0.6527777777777778,0.1631944444444444,6.222222222222222,50,1.880654573440552,50,1.5006844177065473,dolly_15k
